时间,错误量
1512576487056,0
1512577087055,0
1512577687055,0
1512578287055,0
1512578887057,0
1512579487056,0
1512580087058,0
1512580687058,0
1512581287059,0
1512581887058,0
1512582487060,0
1512583087060,0
1512583687061,0
1512584287063,0
1512584887065,0
1512585487066,0
1512586087066,0
1512586687068,0
1512587287069,0
1512587887069,0
1512588487070,0
1512589087070,0
1512589687072,0
1512590287071,0
1512590887073,0
1512591487072,0
1512592087073,0
1512592687073,0
1512593287075,0
1512593887075,0
1512594487076,0
1512595087077,0
1512595687078,0
1512596287078,0
1512596887080,0
1512597487080,0
1512598087081,0
1512598687083,0
1512599287085,0
1512599887085,0
1512600487086,0
1512601087089,0
1512601687089,0
1512602287091,0
1512602887092,0
1512603487094,0
1512604087095,0
1512604687096,0
1512605287097,0
1512605887098,0
1512606487097,0
1512607087099,0
1512607687099,0
1512608287100,0
1512608887100,0
1512609487101,0
1512610087102,0
1512610687103,0
1512611287103,0
1512611887103,0
1512612487104,0
1512613087108,0
1512613687113,0
1512614287109,0
1512614887111,0
1512615487110,0
1512616087112,0
1512616687113,0
1512617287115,0
1512617887118,0
1512618487117,0
1512619087117,0
1512619687116,0
1512620287117,0
1512620887117,0
1512621487117,0
1512622087117,0
1512622687117,0
1512623287117,0
1512623887120,0
1512624487118,0
1512625087120,0
1512625687120,0
1512626287122,0
1512626887123,0
1512627487125,0
1512628087124,0
1512628687124,0
1512629287126,0
1512629887127,0
1512630487129,0
1512631087132,0
1512631687134,0
1512632287135,0
1512632887136,0
1512633487137,0
1512634087139,0
1512634687140,0
1512635287140,0
1512635887141,0
1512636487142,0
1512637087146,0
1512638333834,0
1512639346274,0
1512639946266,0
1512640546268,0
1512641146267,0
1512641746270,0
1512642346273,0
1512642946273,0
1512643546275,0
1512644146276,0
1512644746277,0
1512645346278,0
1512645946279,0
1512646546278,0
1512647146279,0
1512647746279,0
1512648346280,0
1512648946282,0
1512649546282,0
1512650146283,0
1512650746282,0
1512651346283,0
1512651946284,0
1512652546284,0
1512653146285,0
1512653746286,0
1512654346287,0
1512654946286,0
1512655546287,0
1512656146288,0
1512656746289,0
1512657346292,0
1512657946295,0
1512658546302,0
1512659146303,0
1512659746309,0
1512660346309,0
1512660946309,0
1512661546310,0
1512662146310,0
