时间,错误量
1514217604481,0
1514217614478,0
1514217624477,0
1514217634478,0
1514217644477,0
1514217654478,0
1514217664477,0
1514217674478,0
1514217684474,0
1514217694474,0
1514217704475,0
1514217714475,0
1514217724476,0
1514217734476,0
1514217744474,0
1514217754476,0
1514217764476,0
1514217774477,0
1514217784477,0
1514217794478,0
1514217804475,0
1514217814475,0
1514217824476,0
1514217834475,0
1514217844476,0
1514217854476,0
1514217864473,0
1514217874473,0
1514217884474,0
1514217894475,0
1514217904475,0
1514217914476,0
1514217924473,0
1514217934474,0
1514217944474,0
1514217954474,0
1514217964475,0
1514217974475,0
1514217984472,0
1514217994472,0
1514218004473,0
1514218014474,0
1514218024474,0
1514218034475,0
1514218044472,0
1514218054473,0
1514218064473,0
1514218074474,0
1514218084475,0
1514218094474,0
1514218104471,0
1514218114470,0
1514218124471,0
1514218134470,0
1514218144471,0
1514218154472,0
1514218164469,0
1514218174470,0
1514218184470,0
1514218194471,0
1514218204472,0
1514218214473,0
1514218224470,0
1514218234470,0
1514218244471,0
1514218254471,0
1514218264471,0
1514218274471,0
1514218284468,0
1514218294469,0
1514218304468,0
1514218314469,0
1514218324474,0
1514218334469,0
1514218344468,0
1514218354465,0
1514218364466,0
1514218374466,0
1514218384467,0
1514218394468,0
1514218404469,0
1514218414466,0
1514218424467,0
1514218434467,0
1514218444467,0
1514218454467,0
1514218464467,0
1514218474464,0
1514218484464,0
1514218494464,0
1514218504465,0
1514218514465,0
1514218524466,0
1514218534463,0
1514218544464,0
1514218554464,0
1514218564465,0
1514218574466,0
1514218584466,0
1514218594463,0
1514218604462,0
1514218614463,0
1514218624464,0
1514218634465,0
1514218644465,0
1514218654462,0
1514218664463,0
1514218674463,0
1514218684464,0
1514218694464,0
1514218704465,0
1514218714462,0
1514218724462,0
1514218734463,0
1514218744463,0
1514218754463,0
1514218764463,0
1514218774460,0
1514218784461,0
1514218794461,0
1514218804462,0
1514218814462,0
1514218824463,0
1514218834460,0
1514218844461,0
1514218854462,0
1514218864462,0
1514218874463,0
1514218884463,0
1514218894460,0
1514218904460,0
1514218914461,0
1514218924461,0
1514218934461,0
1514218944461,0
1514218954458,0
1514218964458,0
1514218974458,0
1514218984458,0
1514218994459,0
1514219004459,0
1514219014457,0
1514219024457,0
1514219034458,0
1514219044458,0
1514219054459,0
1514219064460,0
1514219074456,0
1514219084457,0
1514219094456,0
1514219104457,0
1514219114456,0
1514219124457,0
1514219134453,0
1514219144453,0
1514219154454,0
1514219164454,0
1514219174455,0
1514219184455,0
1514219194453,0
1514219204454,0
1514219214454,0
1514219224454,0
1514219234454,0
1514219244455,0
1514219254452,0
1514219264452,0
1514219274453,0
1514219284452,0
1514219294453,0
1514219304452,0
1514219314449,0
1514219324448,0
1514219334449,0
1514219344450,0
1514219354450,0
1514219364451,0
1514219374448,0
1514219384449,0
1514219394449,0
1514219404450,0
1514219414450,0
1514219424450,0
1514219434446,0
1514219444446,0
1514219454446,0
1514219464446,0
1514219474447,0
1514219484448,0
1514219494445,0
1514219504446,0
1514219514446,0
1514219524447,0
1514219534447,0
1514219544448,0
1514219554445,0
1514219564444,0
1514219574445,0
1514219584444,0
1514219594445,0
1514219604445,0
1514219614443,0
1514219624444,0
1514219634444,0
1514219644444,0
1514219654444,0
1514219664445,0
1514219674442,0
1514219684443,0
1514219694444,0
1514219704444,0
1514219714445,0
1514219724445,0
1514219734441,0
1514219744441,0
1514219754442,0
1514219764443,0
1514219774442,0
1514219784443,0
1514219794439,0
1514219804440,0
1514219814439,0
1514219824440,0
1514219834441,0
1514219844441,0
1514219854438,0
1514219864438,0
1514219874439,0
1514219884439,0
1514219894440,0
1514219904442,0
1514219914439,0
1514219924439,0
1514219934439,0
1514219944441,0
1514219954441,0
1514219964442,0
1514219974439,0
1514219984439,0
1514219994440,0
1514220004440,0
1514220014441,0
1514220024441,0
1514220034439,0
1514220044440,0
1514220054440,0
1514220064441,0
1514220074440,0
1514220084441,0
1514220094438,0
1514220104439,0
1514220114439,0
1514220124439,0
1514220134439,0
1514220144439,0
1514220154436,0
1514220164436,0
1514220174437,0
1514220184438,0
1514220194438,0
1514220204439,0
1514220214436,0
1514220224438,0
1514220234438,0
1514220244438,0
1514220254439,0
1514220264440,0
1514220274437,0
1514220284436,0
1514220294438,0
1514220304438,0
1514220314439,0
1514220324440,0
1514220334437,0
1514220344438,0
1514220354438,0
1514220364439,0
1514220374439,0
1514220384440,0
1514220394436,0
1514220404436,0
1514220414437,0
1514220424437,0
1514220434437,0
1514220444437,0
1514220454434,0
1514220464435,0
1514220474434,0
1514220484435,0
1514220494435,0
1514220504437,0
1514220514434,0
1514220524435,0
1514220534436,0
1514220544436,0
1514220554437,0
1514220564436,0
1514220574434,0
1514220584434,0
1514220594434,0
1514220604434,0
1514220614434,0
1514220624434,0
1514220634434,0
1514220644431,0
1514220654432,0
1514220664432,0
1514220674433,0
1514220684433,0
1514220694433,0
1514220704430,0
1514220714433,0
1514220724433,0
1514220734433,0
1514220744434,0
1514220754433,0
1514220764430,0
1514220774429,0
1514220784430,0
1514220794431,0
1514220804431,0
