时间,白屏时间,用户可操作时间,总下载时间
1513526781376,861,1099,1861
1513531054995,332,537,712
1513543275294,879,1173,1358
1513544431881,177,1972,2192
1513555436111,2083,3114,5038
1513557535943,63,819,1084
1513558081801,563,767,1059
1513558686264,484,781,2200
1513558726387,539,1405,1650
1513558841573,1394,1678,2801
1513558987784,943,1252,2252
1513559960861,462,769,973
1513560946272,849,1190,1525
1513561220549,585,764,955
1513561981888,2507,2677,2738
1513562243806,484,715,1158
1513562311122,305,532,634
1513562495709,310,529,685
1513562530431,301,537,663
1513562648375,247,663,714
1513562707912,2637,2876,2887
1513564837444,555,686,1233
1513565005653,225,359,2910
1513565142635,558,1108,1272
1513565205141,165,704,795
1513565290552,132,583,765
1513565760698,2425,17147,19111
1513565871558,445,758,1133
1513565935495,393,580,978
1513566141424,297,429,567
1513566256867,544,746,986
1513566257222,929,1266,2031
1513566460710,440,1047,1187
1513566666988,568,1685,1810
1513566833212,331,584,699
1513567282497,397,748,941
1513567357621,617,936,1091
1513567606908,622,957,1368
1513567606908,622,957,1368
1513567749999,1077,1909,2151
1513568142164,487,661,792
1513568320888,205,1095,1297
1513568382243,442,630,813
1513568401292,3063,3334,6833
1513568538949,537,718,1146
1513568623771,313,502,692
1513568756368,643,858,1047
1513568772396,660,811,1134
1513568875560,318,520,625
1513568918121,717,1141,1747
1513569074281,772,931,1056
1513569126074,265,471,568
1513569199573,530,731,1139
1513569421714,382,823,1233
1513569519847,504,921,1162
1513569624309,374,544,919
1513569733855,629,948,1001
1513570615936,704,931,1085
1513570615936,704,931,1085
1513571066081,420,1054,1165
1513571152794,251,500,591
1513571289653,337,645,747
1513571387354,708,1420,2427
1513571569931,561,832,1033
1513571617579,273,469,487
1513571700879,315,656,739
1513571845790,217,492,563
1513572312070,598,900,1157
1513572543411,388,574,766
1513572724942,873,1569,1821
1513572972919,544,791,2002
1513573163014,833,1040,2113
1513573407670,136,833,854
1513573730787,804,869,1449
1513573748443,1411,1573,2060
1513573886137,870,1036,1543
1513574148256,251,437,582
