时间,白屏时间,用户可操作时间,总下载时间
1513574153410,1853,2130,2529
1513574390296,601,890,1195
1513574410196,517,1488,1521
1513574738880,587,1196,1795
1513574798616,559,785,1398
1513574803959,846,1027,1366
1513575049423,854,1094,1691
1513575146543,250,441,587
1513575188835,1529,1921,2259
1513575245164,486,713,1969
1513575449995,520,1359,1657
1513575482132,5307,5443,10843
1513575592568,714,1082,1474
1513575875538,313,721,873
1513575904522,667,860,1235
1513576059553,3736,4765,5129
1513576180960,329,521,742
1513576360727,1007,1289,2218
1513576409882,520,698,1119
1513576422112,678,770,1012
1513576443600,422,762,1237
1513576587653,227,595,749
1513576678367,1445,1654,1832
1513576924765,432,706,1184
1513576965279,471,790,1027
1513577038685,2584,3327,3386
1513577199746,690,1049,1242
1513577254246,1003,1340,1599
1513577311722,483,891,1079
1513577337751,643,2908,3079
1513577474574,952,1295,2241
1513577559401,322,532,704
1513577829001,106,613,1081
1513577905006,625,1153,1324
1513577966108,437,602,802
1513577996722,579,4798,6034
1513578126789,493,694,991
1513578393746,577,824,1050
1513578559493,536,691,859
1513578603185,703,1088,1660
1513578661852,402,572,756
1513578743182,341,616,813
1513578819544,232,421,551
1513578868058,342,540,688
1513578907250,2280,3767,4237
1513579048119,432,662,1087
1513579133567,398,565,731
1513579206973,5883,6554,8078
1513579255020,336,550,731
1513579321357,2593,2832,5082
1513579485439,785,1065,1520
1513579545477,300,911,1063
1513579592252,420,656,870
1513579650816,2773,3178,3865
1513579800814,223,2869,3186
1513579891730,2675,2952,5461
1513580082542,532,1004,1195
1513580093907,513,676,805
1513580193045,790,1499,1793
1513580219104,1029,1234,1745
1513580363066,640,818,1321
1513580497889,4203,9010,9301
1513580552939,1105,1431,3564
1513580839295,990,1165,1660
1513580844973,1520,1820,2066
1513581149380,808,1000,1517
1513581174119,488,740,875
1513581233120,367,655,759
1513581360877,2237,2593,3033
1513581727857,1695,1943,3407
1513581827286,426,973,1199
1513581946617,144,306,311
1513581978161,2132,2528,3454
1513582053838,1007,1399,1449
1513582121989,596,1028,4158
1513582156022,698,961,1247
1513582294112,417,1017,1107
1513582517147,595,843,1020
1513582556611,741,1358,1840
1513582709965,593,858,1239
1513582831339,947,2083,2709
1513582920696,340,633,789
1513582969402,184,414,428
1513583052932,365,549,723
1513583127154,144,505,552
1513583280400,725,1249,1399
1513583454750,307,519,679
1513583535542,1576,2679,3227
1513583597739,719,1177,1490
1513583792292,374,584,760
1513583941481,261,396,474
1513584003981,207,346,357
1513584261811,542,840,1171
1513584310331,595,767,942
1513584403263,728,1482,1939
1513584422047,393,730,1108
1513584529164,377,601,751
1513584571556,951,1071,6068
1513584717933,354,1579,1791
1513584840402,260,400,3902
1513584941837,429,653,827
1513584979797,299,563,786
1513585037121,365,608,765
1513585547132,375,734,1029
1513585650737,872,1306,1438
1513585835158,428,591,660
1513585879495,845,1114,1497
1513585944671,165,388,565
1513585972452,67,329,400
1513586131848,715,900,1213
1513586165725,535,794,1237
1513586292964,3085,3415,5953
1513586769836,1734,1993,2117
1513586879836,549,842,1030
1513587008480,1102,1500,1541
1513587122668,2173,2990,3085
1513587224689,479,844,1757
1513587241390,211,367,466
1513587343181,703,2400,2608
1513587379265,629,908,1127
1513587477909,337,580,844
1513587503322,413,645,747
1513587585474,233,467,558
1513587604557,686,846,1530
1513587656189,328,558,586
1513587740386,298,951,1094
1513587897376,781,1100,1304
1513588299605,1385,1682,2357
1513588585096,4544,9278,9294
1513588651478,133,5069,5095
1513588696159,484,2686,4942
1513588987811,2677,3034,5787
1513589072131,1208,1375,2031
1513589148588,711,955,1364
1513589261292,194,360,437
1513589360764,745,1187,1600
1513589448268,4698,5043,6505
1513589478556,998,2745,3328
1513589520134,917,1106,1313
1513589743250,370,565,694
1513589871327,392,566,738
1513590023401,1061,1244,1698
1513590062022,322,700,845
1513590327310,322,1020,2362
1513590358526,1232,1392,2292
1513590591277,588,1438,1794
1513590603265,942,1271,1522
1513590746546,363,643,764
1513590932832,790,1016,1169
1513590993041,511,737,884
1513591066655,137,333,363
1513591296866,768,1069,1574
1513591361487,78,219,262
1513591517604,767,1007,1343
1513591664544,424,568,816
1513591940374,493,739,869
1513592025069,1059,1659,2494
1513592348351,490,833,1223
1513592673111,500,717,1173
1513592787246,1835,2197,3831
1513593183986,302,539,723
1513593367301,336,804,888
1513593742748,885,1119,1297
1513593824884,189,449,498
1513594130761,518,829,1087
1513594203795,298,541,700
1513594519828,405,579,724
1513594581876,549,854,954
1513594993589,1641,1909,2231
1513595179604,670,899,5884
1513595315625,856,1065,1230
1513595632118,388,650,709
1513596204591,610,809,972
1513596345789,502,742,1022
1513596442447,220,438,517
1513596786714,193,324,393
1513597012744,653,1176,1277
1513597294960,411,615,774
1513598671980,603,843,1039
1513598776073,622,892,1260
1513598820434,292,492,678
1513599768510,959,1653,1913
1513600563171,393,670,2446
1513600708752,709,1562,1849
1513600774707,666,3520,4317
1513601119999,1232,1411,2651
1513601514643,1033,1213,2007
1513602755734,437,985,1351
1513602908581,362,577,782
1513603381966,2212,3965,4626
1513603829892,406,665,883
1513604019073,610,1151,1285
1513604172581,175,2101,2467
1513605027072,539,772,1035
1513605215821,384,588,765
1513605981719,731,1159,1347
1513606251149,184,2899,2994
1513606549053,716,1251,1368
1513606725625,530,1592,1595
1513607289219,347,841,988
1513607394916,136,461,593
1513607968939,2744,5163,7210
1513608924220,507,706,882
1513609071812,1530,1689,3171
1513609121328,692,938,1143
1513609198272,840,1178,1477
1513609266361,1943,2948,3133
1513612489744,660,1622,2235
1513612544058,776,1099,1266
1513612587443,345,642,864
1513612706228,391,966,1208
1513612778808,1729,1994,3262
