时间,错误量
1512403264356,0
1512403864356,0
1512404464356,0
1512405064356,0
1512405664356,0
1512406264361,0
1512406864360,0
1512407464362,0
1512408064361,0
1512408664362,0
1512409264364,0
1512409864364,0
1512410464365,0
1512411064366,0
1512411664367,0
1512412264367,0
1512412864368,0
1512413464369,0
1512414064370,0
1512414664372,0
1512415264372,0
1512415864373,0
1512416464375,0
1512417064375,0
1512417664376,0
1512418264377,0
1512418864378,0
1512419464378,0
1512420064380,0
1512420664380,0
1512421264381,0
1512421864383,0
1512422464383,0
1512423064384,0
1512423664385,0
1512424264387,0
1512424864392,0
1512425464388,0
1512426064389,0
1512426664390,0
1512427264391,0
1512427864392,0
1512428464393,0
1512429064393,0
1512429664393,0
1512430264393,0
1512430864393,0
1512431464393,0
1512432064393,0
1512432664393,0
1512433264393,0
1512433864393,0
1512434464394,0
1512435064395,0
1512435664394,0
1512436264395,0
1512436870566,0
