时间,错误量
1514512197272,0
1514512207254,0
1514512217253,0
1514512227262,0
1514512237253,0
1514512247262,0
1514512257252,0
1514512267251,0
1514512277252,0
1514512287251,0
1514512297252,0
1514512307251,0
1514512317249,0
1514512327250,0
1514512337250,0
1514512347251,0
1514512357251,0
1514512367252,0
1514512377249,0
1514512387250,0
1514512397251,0
1514512407251,0
1514512417254,0
1514512427253,0
1514512437250,0
1514512447249,0
1514512457250,0
1514512467251,0
1514512477251,0
1514512487252,0
1514512497249,0
1514512507251,0
1514512517251,0
1514512527252,0
1514512537253,0
1514512547253,0
1514512557249,0
1514512567249,0
1514512577249,0
1514512587249,0
1514512597249,0
1514512607251,0
1514512617247,0
1514512627248,0
1514512637248,0
1514512647249,0
1514512657249,0
1514512667250,0
1514512677247,0
1514512687247,0
1514512697248,0
1514512707247,0
1514512717248,0
1514512727248,0
1514512737246,0
1514512747247,0
1514512757247,0
1514512767247,0
1514512777247,0
1514512787248,0
1514512797245,0
1514512807246,0
1514512817247,0
1514512827247,0
1514512837248,0
1514512847249,0
1514512857244,0
1514512867246,0
1514512877247,0
1514512887248,0
1514512897247,0
1514512907248,0
1514512917245,0
1514512927246,0
1514512937246,0
1514512947247,0
1514512957248,0
1514512967248,0
1514512977245,0
1514512987245,0
1514512997246,0
1514513007246,0
1514513017247,0
1514513027249,0
1514513037246,0
1514513047247,0
1514513057247,0
1514513067249,0
1514513077252,0
1514513087253,0
1514513097250,0
1514513107249,0
1514513117250,0
1514513127250,0
1514513137251,0
1514513147251,0
1514513157249,0
1514513167250,0
1514513177250,0
1514513187251,0
1514513197251,0
1514513207252,0
1514513217249,0
1514513227250,0
1514513237250,0
1514513247250,0
1514513257250,0
1514513267250,0
1514513277247,0
1514513287247,0
1514513297248,0
1514513307249,0
1514513317249,0
1514513327250,0
1514513337247,0
1514513347248,0
1514513357248,0
1514513367248,0
1514513377249,0
1514513387248,0
1514513397245,0
1514513407244,0
1514513417245,0
1514513427246,0
1514513437246,0
1514513447246,0
1514513457243,0
1514513467245,0
1514513477244,0
1514513487245,0
1514513497245,0
1514513507246,0
1514513517243,0
1514513527243,0
1514513537243,0
1514513547243,0
1514513557245,0
1514513567245,0
1514513577242,0
1514513587243,0
1514513597242,0
1514513607243,0
1514513617243,0
1514513627244,0
1514513637241,0
1514513647242,0
1514513657243,0
1514513667243,0
1514513677244,0
1514513687244,0
1514513697241,0
1514513707240,0
1514513717241,0
1514513727242,0
1514513737242,0
1514513747242,0
1514513757239,0
1514513767239,0
1514513777240,0
1514513787240,0
1514513797241,0
1514513807241,0
1514513817238,0
1514513827239,0
1514513837240,0
1514513847241,0
1514513857241,0
1514513867242,0
1514513877239,0
1514513887240,0
1514513897240,0
1514513907241,0
1514513917241,0
1514513927241,0
1514513937238,0
1514513947238,0
1514513957239,0
1514513967239,0
1514513977240,0
1514513987241,0
1514513997238,0
1514514007239,0
1514514017240,0
1514514027240,0
1514514037240,0
1514514047240,0
1514514057237,0
1514514067236,0
1514514077237,0
1514514087236,0
1514514097237,0
1514514107236,0
1514514117237,0
1514514127235,0
1514514137235,0
1514514147236,0
1514514157236,0
1514514167238,0
1514514177238,0
1514514187235,0
1514514197235,0
1514514207235,0
1514514217235,0
1514514227235,0
1514514237236,0
1514514247233,0
1514514257233,0
1514514267234,0
1514514277234,0
1514514287235,0
1514514297235,0
1514514307232,0
1514514317232,0
1514514327233,0
1514514337234,0
1514514347234,0
1514514357235,0
1514514367231,0
1514514377232,0
1514514387231,0
1514514397232,0
1514514407233,0
1514514417233,0
1514514427230,0
1514514437230,0
1514514447231,0
1514514457231,0
1514514467232,0
1514514477233,0
1514514487229,0
1514514497230,0
1514514507230,0
1514514517231,0
1514514527232,0
1514514537232,0
1514514547229,0
1514514557229,0
1514514567230,0
1514514577229,0
1514514587230,0
1514514597229,0
1514514607227,0
1514514617228,0
1514514627228,0
1514514637229,0
1514514647229,0
1514514657230,0
1514514667227,0
1514514677228,0
1514514687229,0
1514514697229,0
1514514707229,0
1514514717229,0
1514514727226,0
1514514737226,0
1514514747226,0
1514514757227,0
1514514767226,0
1514514777227,0
1514514787224,0
1514514797225,0
1514514807225,0
1514514817226,0
1514514827227,0
1514514837227,0
1514514847224,0
1514514857223,0
1514514867224,0
1514514877224,0
1514514887225,0
1514514897225,0
1514514907222,0
1514514917222,0
1514514927222,0
1514514937223,0
1514514947223,0
1514514957225,0
1514514967222,0
1514514977222,0
1514514987223,0
1514514997223,0
1514515007224,0
1514515017224,0
1514515027221,0
1514515037222,0
1514515047222,0
1514515057223,0
1514515067222,0
1514515077223,0
1514515087220,0
1514515097221,0
1514515107222,0
1514515117222,0
1514515127223,0
1514515137223,0
1514515147220,0
1514515157220,0
1514515167221,0
1514515177221,0
1514515187221,0
1514515197222,0
1514515207219,0
1514515217219,0
1514515227219,0
1514515237219,0
1514515247220,0
1514515257220,0
1514515267217,0
1514515277217,0
1514515287218,0
1514515297218,0
1514515307219,0
1514515317220,0
1514515327217,0
1514515337218,0
1514515347217,0
1514515357218,0
1514515367217,0
1514515377218,0
1514515387214,0
1514515397214,0
1514515407214,0
1514515417214,0
1514515427214,0
1514515437214,0
1514515447212,0
1514515457213,0
1514515467213,0
1514515477214,0
1514515487214,0
1514515497215,0
1514515507213,0
1514515517214,0
1514515527215,0
1514515537214,0
1514515547215,0
1514515557215,0
1514515567212,0
1514515577211,0
1514515587212,0
1514515597213,0
1514515607213,0
1514515617214,0
1514515627211,0
1514515637212,0
1514515647211,0
1514515657212,0
1514515667213,0
1514515677213,0
1514515687209,0
1514515697209,0
1514515707209,0
1514515717209,0
1514515727209,0
1514515737210,0
1514515747207,0
1514515757208,0
1514515767208,0
1514515777209,0
1514515787209,0
1514515797210,0
1514515807207,0
1514515817207,0
1514515827208,0
1514515837207,0
1514515847208,0
1514515857208,0
1514515867206,0
1514515877206,0
1514515887206,0
1514515897207,0
1514515907207,0
1514515917208,0
1514515927205,0
1514515937206,0
1514515947207,0
1514515957207,0
1514515967208,0
1514515977208,0
1514515987205,0
1514515997205,0
1514516007207,0
1514516017208,0
1514516027207,0
1514516037208,0
1514516047205,0
1514516057206,0
1514516067206,0
1514516077207,0
1514516087207,0
1514516097207,0
1514516107204,0
1514516117204,0
1514516127205,0
1514516137205,0
1514516147206,0
1514516157207,0
1514516167204,0
1514516177204,0
1514516187204,0
1514516197204,0
1514516207204,0
1514516217204,0
1514516227201,0
1514516237201,0
1514516247202,0
1514516257202,0
1514516267203,0
1514516277204,0
1514516287201,0
1514516297202,0
1514516307202,0
1514516317203,0
1514516327203,0
1514516337204,0
1514516347200,0
1514516357200,0
1514516367200,0
1514516377200,0
1514516387200,0
1514516397200,0
1514516407198,0
1514516417199,0
1514516427199,0
1514516437200,0
1514516447200,0
1514516457201,0
1514516467198,0
1514516477199,0
1514516487200,0
1514516497199,0
1514516507200,0
1514516517200,0
1514516527197,0
1514516537197,0
1514516547198,0
1514516557199,0
1514516567199,0
1514516577201,0
1514516587198,0
1514516597199,0
1514516607199,0
1514516617200,0
1514516627201,0
1514516637201,0
1514516647198,0
1514516657198,0
1514516667200,0
1514516677200,0
1514516687200,0
1514516697201,0
1514516707197,0
1514516717198,0
1514516727198,0
1514516737199,0
1514516747199,0
1514516757200,0
1514516767197,0
1514516777197,0
1514516787198,0
1514516797198,0
1514516807199,0
1514516817199,0
1514516827197,0
1514516837197,0
1514516847197,0
1514516857197,0
1514516867197,0
1514516877198,0
1514516887197,0
1514516897198,0
1514516907199,0
1514516917199,0
1514516927200,0
1514516937200,0
1514516947197,0
1514516957197,0
1514516967198,0
1514516977199,0
1514516987198,0
1514516997199,0
1514517007196,0
1514517017197,0
1514517027196,0
1514517037197,0
1514517047197,0
1514517057197,0
1514517067194,0
1514517077194,0
1514517087195,0
1514517097195,0
1514517107196,0
1514517117197,0
1514517127194,0
1514517137195,0
1514517147195,0
1514517157196,0
1514517167196,0
1514517177197,0
1514517187194,0
1514517197193,0
1514517207194,0
1514517217193,0
1514517227194,0
1514517237194,0
1514517247192,0
1514517257193,0
1514517267193,0
1514517277194,0
1514517287193,0
1514517297194,0
1514517307192,0
1514517317193,0
1514517327193,0
1514517337193,0
1514517347193,0
1514517357193,0
1514517367190,0
1514517377190,0
1514517387191,0
1514517397192,0
1514517407192,0
1514517417193,0
1514517427190,0
1514517437191,0
1514517447191,0
1514517457192,0
1514517467193,0
1514517477193,0
1514517487190,0
1514517497190,0
1514517507191,0
1514517517190,0
1514517527191,0
1514517537192,0
1514517547189,0
1514517557189,0
1514517567189,0
1514517577190,0
1514517587190,0
1514517597191,0
1514517607188,0
1514517617188,0
1514517627189,0
1514517637189,0
1514517647190,0
1514517657190,0
1514517667188,0
