时间,白屏时间,用户可操作时间,总下载时间
1514044877049,495,685,855
1514044877049,495,685,855
1514046907445,181,1405,2173
1514051120830,464,8240,8311
1514051120830,421,4682,4803
1514075621512,21,546,1044
1514075621512,21,546,1044
1514082377488,533,847,1063
1514082377488,533,847,1063
1514085365499,521,883,1239
1514086024044,998,1337,1686
1514087578837,795,1491,1986
1514088894465,272,488,511
1514091731266,578,1006,1369
1514091746236,83,416,448
1514092081672,154,459,496
1514097583709,243,329,589
1514097690431,164,309,461
1514099712029,523,930,1175
1514099774705,271,692,698
1514102730525,3291,3638,3771
1514103546395,1927,2313,3002
1514104162758,43,661,1125
1514105331570,908,1045,1312
1514109231764,683,1075,1516
1514120903971,667,1036,1550
1514120903971,667,1036,1550
1514123127574,1673,1925,2107
1514124519130,632,833,1020
1514126138510,7208,8152,13212
1514128092963,2653,3043,5379
