时间,错误量
1514338172024,0
1514338197834,0
1514338207832,0
1514338217832,0
1514338268641,0
1514338278642,0
1514338288638,0
1514338375858,0
1514338385858,0
1514338413574,0
1514338423573,0
1514338433569,0
1514338539302,0
1514338549302,0
1514338559299,0
1514338569308,0
1514338704775,0
1514338714772,0
1514338815068,0
1514338825071,0
1514338931161,0
1514338941162,0
1514338951159,0
1514338969036,0
1514338979034,0
1514338989034,0
1514339779559,0
1514339789556,0
1514339847074,0
1514339857075,0
1514341105425,0
1514341115425,0
1514341125422,0
1514341135430,0
1514341145423,0
1514341155426,0
1514341173566,0
1514341183567,0
1514341193563,0
1514341203570,0
1514341213566,0
1514342078675,0
1514342088676,0
1514342098673,0
1514342108681,0
1514342139228,0
1514342149230,0
1514342159227,0
1514342169235,0
1514342179228,0
1514342189230,0
1514342199221,0
1514342209221,0
1514342219222,0
1514342229223,0
1514342239225,0
1514342249225,0
1514342259217,0
1514342269218,0
1514342279226,0
1514342289218,0
1514342299218,0
1514342309219,0
1514342319214,0
1514342329215,0
1514342339216,0
1514342349216,0
1514342359217,0
1514342369217,0
1514342379214,0
1514342389214,0
1514342399215,0
1514342409215,0
1514342419215,0
1514342429216,0
1514342439213,0
1514342449213,0
1514342459213,0
1514342469214,0
1514342479215,0
1514342489215,0
1514342499212,0
1514342509212,0
1514342519213,0
1514342529213,0
1514342546205,0
1514342556206,0
1514342566206,0
1514342576207,0
1514342586208,0
1514342596208,0
1514342606204,0
1514342616204,0
1514342626205,0
1514342636205,0
1514347424192,0
