时间,错误量
1514198515019,0
1514198525023,0
1514198535020,0
1514198545029,0
1514198555023,0
1514198565024,0
1514198575027,0
1514198585026,0
1514198595027,0
1514198605026,0
1514198615027,0
1514198625027,0
1514198635031,0
1514198645032,0
1514198655032,0
1514198665033,0
1514198675033,0
1514198685034,0
1514198695037,0
1514198705038,0
1514198715041,0
1514198725041,0
1514198735043,0
1514198745043,0
1514198755045,0
1514198765045,0
1514198775045,0
1514198785046,0
1514198795045,0
1514198805046,0
1514198815050,0
1514198825051,0
1514198835051,0
1514198845053,0
1514198855054,0
1514198865054,0
1514198875057,0
1514198885057,0
1514198895058,0
1514198905058,0
1514198915059,0
1514198925059,0
1514198935063,0
1514198945064,0
1514198955063,0
1514198965064,0
1514198975064,0
1514198985065,0
1514198995069,0
1514199005068,0
1514199015069,0
1514199025069,0
1514199035070,0
1514199045070,0
1514199055073,0
1514199065074,0
1514199075074,0
1514199085075,0
1514199095074,0
1514199105075,0
1514199115078,0
1514199125079,0
1514199135080,0
1514199145080,0
1514199155081,0
1514199165082,0
1514199175085,0
1514199185084,0
1514199195085,0
1514199205087,0
1514199215087,0
1514199225087,0
1514199235090,0
1514199245090,0
1514199255090,0
1514199265090,0
1514199275091,0
1514199285090,0
1514199295093,0
1514199305093,0
1514199315094,0
1514199325094,0
1514199335095,0
1514199345096,0
1514199355099,0
1514199365100,0
1514199375100,0
1514199385101,0
1514199395100,0
1514199405101,0
1514199415103,0
1514199425103,0
1514199435103,0
1514199445103,0
1514199455104,0
1514199465104,0
1514199475108,0
1514199485109,0
1514199495109,0
1514199505110,0
1514199515110,0
1514199525111,0
1514199535114,0
1514199545115,0
1514199555116,0
1514199565115,0
1514199575116,0
1514199585115,0
1514199595118,0
1514199605119,0
1514199615120,0
1514199625121,0
1514199635121,0
1514199645122,0
1514199655125,0
1514199665126,0
1514199675126,0
1514199685127,0
1514199695128,0
1514199705129,0
1514199715131,0
1514199725131,0
1514199735132,0
1514199745132,0
1514199755133,0
1514199765134,0
1514199775137,0
1514199785137,0
1514199795137,0
1514199805138,0
1514199815138,0
1514199825140,0
1514199835144,0
1514199845144,0
1514199855145,0
1514199865145,0
1514199875146,0
1514199885145,0
1514199895149,0
1514199905150,0
1514199915150,0
1514199925150,0
1514199935150,0
1514199945150,0
1514199955153,0
1514199965154,0
